11 Com b,Radial Velocity,2007,Xinglong Station,1.178000,12.200,4914.89849,78.28058,264.13775,1,1
11 UMi b,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,1.530000,12.300,4684.81420,41.04437,108.71900,2,2
14 And b,Radial Velocity,2008,Okayama Astrophysical Observatory,0.775000,13.100,1131.15130,-21.05141,106.41269,3,3
14 Her b,Radial Velocity,2002,W. M. Keck Observatory,2.774000,12.600,2559.47216,46.94447,69.16849,4,4
16 Cyg B b,Radial Velocity,1996,Multiple Observatories,1.660000,13.500,565.73740,13.20446,83.33558,5,5
17 Sco b,Radial Velocity,2020,Lick Observatory,1.450000,12.900,1373.01872,27.34301,1.30262,6,6
18 Del b,Radial Velocity,2008,Okayama Astrophysical Observatory,2.476000,12.500,2926.24614,-21.97480,58.69121,7,7
1RXS J160929.1-210524 b,Imaging,2008,Gemini Observatory,330.000000,18.647,3000.00000,22.03031,352.89050,8,8
24 Boo b,Radial Velocity,2018,Okayama Astrophysical Observatory,0.194000,13.900,280.64248,60.64470,90.16373,9,9
24 Sex b,Radial Velocity,2010,Lick Observatory,1.333000,13.400,632.46000,44.71580,245.08569,10,10
24 Sex c,Radial Velocity,2010,Lick Observatory,2.080000,13.900,273.32000,44.71580,245.08569,10,11
2M0437 b,Imaging,2021,Subaru Telescope,118.000000,13.000,1271.31363,-13.44593,172.81975,11,12
2MASS J01033563-5515561 AB b,Imaging,2013,Paranal Observatory,84.000000,12.300,4131.79000,-61.77586,299.26888,12,13
2MASS J01225093-2439505 b,Imaging,2013,W. M. Keck Observatory,52.000000,11.209,7786.50000,-82.51990,195.45385,13,14
2MASS J02192210-3925225 b,Imaging,2015,Cerro Tololo Inter-American Observatory,156.000000,16.141,4417.83700,-67.98402,252.45343,14,15
2MASS J04414489+2301513 b,Imaging,2010,Hubble Space Telescope,15.000000,12.600,2383.60000,-15.11435,176.51065,15,16
2MASS J12073346-3932539 b,Imaging,2004,Paranal Observatory,55.000000,12.900,1589.15000,22.54309,293.79011,16,17
2MASS J19383260+4603591 b,Eclipse Timing Variations,2015,Kepler,0.920000,13.400,603.87700,11.67426,79.01876,17,18
2MASS J22362452+4751425 b,Imaging,2016,W. M. Keck Observatory,230.000000,12.300,3972.87500,-9.10923,100.74846,18,19
30 Ari B b,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,0.990000,12.300,4392.41060,-32.30930,151.47681,19,20
4 UMa b,Radial Velocity,2006,Thueringer Landessternwarte Tautenburg,0.877000,12.600,2511.48007,35.95654,151.35882,20,21
42 Dra b,Radial Velocity,2008,Thueringer Landessternwarte Tautenburg,1.190000,13.000,1233.13000,27.12504,95.41912,21,22
47 UMa b,Radial Velocity,1996,Lick Observatory,2.100000,13.200,804.08000,63.36770,175.78305,22,23
47 UMa c,Radial Velocity,2001,Lick Observatory,3.600000,14.200,171.62100,63.36770,175.78305,22,24
47 UMa d,Radial Velocity,2009,Lick Observatory,11.600000,13.500,521.22000,63.36770,175.78305,22,25
51 Eri b,Imaging,2015,Gemini Observatory,13.200000,13.400,635.66000,-30.65764,198.61297,23,26
51 Peg b,Radial Velocity,1995,Haute-Provence Observatory,0.052700,14.300,146.20180,-34.72750,90.06374,24,27
55 Cnc b,Radial Velocity,1996,Lick Observatory,0.113400,13.900,263.97850,37.69663,196.79526,25,28
55 Cnc c,Radial Velocity,2004,McDonald Observatory,0.237300,8.510,54.47380,37.69663,196.79526,25,29
55 Cnc d,Radial Velocity,2002,Lick Observatory,5.957000,13.000,1232.49300,37.69663,196.79526,25,30
55 Cnc e,Radial Velocity,2004,McDonald Observatory,0.015440,1.875,7.99000,37.69663,196.79526,25,31
55 Cnc f,Radial Velocity,2007,Multiple Observatories,0.770800,7.590,44.81200,37.69663,196.79526,25,32
6 Lyn b,Radial Velocity,2008,Okayama Astrophysical Observatory,2.028000,13.400,597.83523,20.18918,156.97286,26,33
61 Vir b,Radial Velocity,2009,Multiple Observatories,0.050201,2.110,5.10000,44.08875,311.85177,27,34
61 Vir c,Radial Velocity,2009,Multiple Observatories,0.217500,4.460,18.20000,44.08875,311.85177,27,35
61 Vir d,Radial Velocity,2009,Multiple Observatories,0.476000,5.110,22.90000,44.08875,311.85177,27,36
7 CMa b,Radial Velocity,2011,Anglo-Australian Telescope,1.758000,13.400,587.98550,-11.79597,228.68876,28,37
7 CMa c,Radial Velocity,2019,Multiple Observatories,2.153000,13.900,276.51210,-11.79597,228.68876,28,38
70 Vir b,Radial Velocity,1996,Lick Observatory,0.481000,12.600,2380.45000,74.09910,337.65749,29,39
75 Cet b,Radial Velocity,2012,Okayama Astrophysical Observatory,1.912000,13.300,787.89662,-54.44177,169.94418,30,40
75 Cet c,Radial Velocity,2023,Okayama Astrophysical Observatory,3.929000,13.900,289.85951,-54.44177,169.94418,30,41
8 UMi b,Radial Velocity,2015,Bohyunsan Optical Astronomical Observatory,0.490000,13.600,416.35730,39.66099,112.79492,31,42
81 Cet b,Radial Velocity,2008,Okayama Astrophysical Observatory,2.104000,13.100,1051.05854,-55.24995,174.48697,32,43
91 Aqr b,Radial Velocity,2013,Lick Observatory,0.700000,13.100,1017.00000,-61.11327,67.07416,33,44
AB Aur b,Imaging,2022,Subaru Telescope,93.900000,12.500,2860.45566,-7.98082,172.49916,34,45
