11 Com b,11 Com,b,HD 107383,HIP 60202,TIC 72437047,Gaia DR2 3946945413106333696,2,1,0,0,Radial Velocity,2007,2008-01,Ground,Xinglong Station,2.16 m Telescope,Coude Echelle Spectrograph,323.21,0.06,-0.05,0,1.178,0,0,0,12.2,1.09,,,0,4914.89849,39.09289,-39.72855,0,15.464,0.123,-0.125,0,Msini,14.9,,,0,0.238,0.007,-0.007,0,,,,,,,,,,,,,2454519.4,1.5,-1.6,0,JD,91.33,1.7,-1.8,0,288.63,2.39,-2.37,0,G8 III,4874,,,0,13.76,2.85,-2.45,0,2.09,0.64,-0.63,0,-0.26,0.1,-0.1,0,[Fe/H],1.978,0.18,-0.159,0,2.45,0.08,-0.08,0,,,,,,,,,1.2,1,-1,0,,,,,43.37,0.21,-0.21,0,12h20m42.91s,185.1787793,+17d47m35.71s,17.7932516,78.28058,264.13775,18.33392,177.4179,140.3836266,0.3013952,-0.3013952,-109.241,0.316107,-0.316107,88.1701,0.277297,-0.277297,93.1846
11 UMi b,11 UMi,b,HD 136726,HIP 74793,TIC 230061010,Gaia DR2 1696798367260229376,1,1,0,0,Radial Velocity,2009,2009-10,Ground,Thueringer Landessternwarte Tautenburg,2.0 m Alfred Jensch Telescope,Coude Echelle Spectrograph,516.21997,3.2,-3.2,0,1.53,0.07,-0.07,0,12.3,1.09,,,0,4684.8142,794.575,-794.575,0,14.74,2.5,-2.5,0,Msini,13.8,,,0,0.08,0.03,-0.03,0,,,,,,,,,,,,,2452861.04,2.06,-2.06,0,,117.63,21.06,-21.06,0,189.7,7.2,-7.2,0,K4 III,4213,46,-46,0,29.79,2.84,-2.84,0,2.78,0.69,-0.69,0,-0.02,,,0,[Fe/H],2.43,0.008,-0.008,0,1.93,0.07,-0.07,0,1.56,0.54,-0.54,0,,,,,1.5,,,0,,,,,-17.52,0.15,-0.15,0,15h17m05.90s,229.2745954,+71d49m26.19s,71.8239428,41.04437,108.719,74.95821,141.64699,10.6790187,0.2188062,-0.2188062,3.42996,0.231822,-0.231822,10.1132,0.217259,-0.217259,125.321
14 And b,14 And,b,HD 221345,HIP 116076,TIC 333225860,Gaia DR2 1920113512486282240,1,1,0,0,Radial Velocity,2008,2008-12,Ground,Okayama Astrophysical Observatory,1.88 m Telescope,HIDES Echelle Spectrograph,186.76,0.11,-0.12,0,0.775,0,0,0,13.1,1.16,,,0,1131.1513,36.23244,-38.77507,0,3.559,0.114,-0.122,0,Msini,2.76,,,0,0,,,0,,,,,,,,,,,,,2452853,2.1,-2.1,0,JD,0,,,0,86.08,2.76,-2.95,0,K0 III,4888,,,0,11.55,1.12,-0.51,0,1.78,0.43,-0.29,0,-0.21,0.1,-0.1,0,[Fe/H],1.84,0.081,-0.05,0,2.55,0.06,-0.07,0,4.5,1.9,-1.9,0,,,,,2.6,,,0,,,,,-59.73,0.31,-0.31,0,23h31m17.80s,352.82415,+39d14m09.01s,39.2358367,-21.05141,106.41269,38.22901,11.95935,299.2526179,0.1826842,-0.1826842,287.292,0.18578,-0.18578,-83.7582,0.141256,-0.141256,75.4392
14 Her b,14 Her,b,HD 145675,HIP 79248,TIC 219483057,Gaia DR2 1385293808145621504,1,2,0,0,Radial Velocity,2002,2003-01,Ground,W. M. Keck Observatory,10 m Keck I Telescope,HIRES Spectrometer,1765.0389,1.67709,-1.87256,0,2.774,0.109,-0.12,0,12.6,1.12,,,0,2559.47216,518.69596,-280.64248,0,8.053,1.632,-0.883,0,Mass,7.03,,,0,0.373,0.008,-0.006,0,,,,,,,,,144.652,6.279,-3.241,0,2449614.563,5.447,-6.281,0,BJD,23.043,1.183,-1.105,0,89.582,0.963,-0.822,0,K0 V,5338,25,-25,0,0.93,0.01,-0.01,0,0.91,0.11,-0.11,0,0.405,0.047,-0.047,0,[Fe/H],-0.153,0.012,-0.01,0,4.45,0.02,-0.02,0,3.9,,,0,1.27393,0.34953,-0.30728,0,1,,,1,,,,,-13.82,0,0,0,16h10m24.50s,242.6021014,+43d48m58.90s,43.8163621,46.94447,69.16849,62.87885,223.24717,324.5303062,0.0424169,-0.0424169,132.019,0.0385189,-0.0385189,-296.464,0.0431481,-0.0431481,17.9323
16 Cyg B b,16 Cyg B,b,HD 186427,HIP 96901,TIC 27533327,Gaia DR2 2135550755683407232,3,1,0,0,Radial Velocity,1996,1997-07,Ground,Multiple Observatories,Multiple Telescopes,Multiple Instruments,798.5,1,-1,0,1.66,0.03,-0.03,0,13.5,1.2,,,0,565.7374,25.4264,-25.4264,0,1.78,0.08,-0.08,0,Msini,1.26,,,0,0.68,0.02,-0.02,0,,,,,,,,,,,,,2450539.3,1.6,-1.6,0,,82.74,0.6,-0.6,0,50.5,1.6,-1.6,0,G3 V,5750,8,-8,0,1.13,0.01,-0.01,0,1.08,0.04,-0.04,0,0.06,,,0,[Fe/H],0.097,0.009,-0.013,0,4.36,0.01,-0.01,0,7.4,0.1,-0.1,0,1.01103,0.29273,-0.20081,0,2.7,1,-1,0,,,,,-28.1,0.1,-0.1,0,19h41m51.75s,295.4656422,+50d31m00.57s,50.5168243,13.20446,83.33558,69.46803,321.21176,211.1222128,0.0468803,-0.0468803,-134.791,0.0494634,-0.0494634,-162.493,0.0450169,-0.0450169,21.1397
17 Sco b,17 Sco,b,,HIP 79540,TIC 135596590,Gaia DR2 4342464209753404416,1,1,0,0,Radial Velocity,2020,2020-12,Ground,Lick Observatory,Coude Auxiliary Telescope,Hamilton Echelle Spectrograph,578.38,2.01,-2.09,0,1.45,0.02,-0.02,0,12.9,1.15,,,0,1373.01872,47.67426,-38.13941,0,4.32,0.15,-0.12,0,Msini,3.51,,,0,0.06,0.03,-0.02,0,,,,,,,,,,,,,2453294.41,174.23,-182.91,0,JD,57.03,113.18,-106.77,0,92.4,3.9,-3.84,0,K3 III,4157,11,-10,0,25.92,0.78,-0.74,0,1.22,0.13,-0.14,0,-0.01,0.1,-0.1,0,[Fe/H],2.254,0.026,-0.024,0,1.7,0.04,-0.06,0,5.13,2.12,-1.33,0,,,,,3.98,1.11,-1.11,0,329.49,92.4,-92.4,1,,,,,16h13m50.90s,243.4620874,-11d50m16.05s,-11.8377905,27.34301,1.30262,9.21181,243.70449,10.6681995,0.2982626,-0.2982626,-5.62983,0.320487,-0.320487,-9.06176,0.289228,-0.289228,124.953
18 Del b,18 Del,b,HD 199665,HIP 103527,TIC 354489950,Gaia DR2 1756741374681702784,2,1,0,0,Radial Velocity,2008,2008-06,Ground,Okayama Astrophysical Observatory,1.88 m Telescope,HIDES Echelle Spectrograph,982.85,1.06,-0.92,0,2.476,0.002,-0.002,0,12.5,1.12,,,0,2926.24614,50.85255,-24.47279,0,9.207,0.16,-0.077,0,Msini,8.23,,,0,0.024,0.007,-0.018,0,,,,,,,,,,,,,2454356.1,102.9,-118.2,0,JD,64.11,28.8,-57.98,0,114.96,1.98,-0.96,0,G6 III,4980,,,0,8.8,0.61,-0.4,0,2.1,0.13,-0.09,0,-0.06,0.1,-0.1,0,[Fe/H],1.634,0.061,-0.043,0,2.87,0.03,-0.05,0,1.1,0.1,-0.1,0,,,,,,,,,,,,,4.35,0.15,-0.15,0,20h58m25.88s,314.6078375,+10d50m20.90s,10.8391378,-21.9748,58.69121,26.78678,320.58706,60.6038527,0.1566766,-0.1566766,-50.0335,0.147366,-0.147366,-34.1976,0.174949,-0.174949,76.222
1RXS J160929.1-210524 b,1RXS J160929.1-210524,b,,,TIC 48964101,Gaia DR2 6243841249531772800,1,1,0,0,Imaging,2008,2008-12,Ground,Gemini Observatory,8.19 m Gemini North Telescope,NIRI Camera,,,,,330,,,0,18.647,1.664,,,0,3000,300,-300,0,8,1,-1,0,Mass,2.54,,,0,,,,,,,,,1700,100,-100,0,,,,,,,,,,,,,,,,,,K7 V,4060,300,-200,0,1.31,0.18,-0.1,0,0.85,0.2,-0.1,0,,,,,,-0.37,0.15,-0.15,0,4,0.14,-0.1,0,0.005,,,0,0.38789,0.18019,-0.10697,0,,,,,,,,,,,,,16h09m30.30s,242.3762343,-21d04m59.31s,-21.0831403,22.03031,352.8905,-0.06852,244.36567,25.3771704,0.0887954,-0.0887954,-10.2743,0.112028,-0.112028,-23.2043,0.0834861,-0.0834861,139.135
24 Boo b,24 Boo,b,HD 127243,HIP 70791,TIC 441712711,Gaia DR2 1603662211901473408,1,1,0,0,Radial Velocity,2018,2018-08,Ground,Okayama Astrophysical Observatory,1.88 m Telescope,HIDES Echelle Spectrograph,30.33,0,-0.01,0,0.194,0,0,0,13.9,1.24,,,0,280.64248,11.44182,-13.66662,0,0.883,0.036,-0.043,0,Msini,0.574,,,0,0.032,0.039,-0.023,0,,,,,,,,,,,,,2455129.2,3,-15.4,0,JD,-179.2,89.32,-95.45,0,55.67,2.31,-2.66,0,G3 IV,4816,,,0,12.19,1.45,-1.28,0,1.05,0.27,-0.18,0,-0.78,0.1,-0.1,0,[Fe/H],1.877,0.09,-0.095,0,2.28,0.09,-0.07,0,6.92,4.83,-2.75,0,,,,,3.36,,,0,,,,,-7.77,0.15,-0.15,0,14h28m37.33s,217.1555242,+49d50m40.74s,49.8446488,60.6447,90.16373,58.88795,185.91956,307.6469784,0.0965492,-0.0965492,-304.064,0.0962139,-0.0962139,-46.8161,0.109763,-0.109763,95.9863
24 Sex b,24 Sex,b,HD 90043,HIP 50887,TIC 1713457,Gaia DR2 3830897080395058048,1,2,0,0,Radial Velocity,2010,2011-01,Ground,Lick Observatory,3.0 m C. Donald Shane Telescope,Hamilton Echelle Spectrograph,452.8,2.1,-4.5,0,1.333,0.004,-0.009,0,13.4,1.19,,,0,632.46,82.63,-120.77,0,1.99,0.26,-0.38,0,Msini,1.44,,,0,0.09,0.14,-0.06,0,,,,,,,,,,,,,2454762,67.3,-172.3,0,,9.2,277.9,-165.4,0,40,4.9,-7.8,0,K0 IV,5098,44,-44,0,4.9,0.08,-0.08,0,1.54,0.08,-0.08,0,-0.03,0.04,-0.04,0,[Fe/H],1.164,0.003,-0.003,0,3.5,0.1,-0.1,0,2.7,0.4,-0.4,0,,,,,2.77,0.5,-0.5,0,,,,,7.29,0.18,-0.18,0,10h23m28.44s,155.8684866,-00d54m08.64s,-0.9023998,44.7158,245.08569,-10.19818,157.99391,74.6277468,0.1879011,-0.1879011,65.2199,0.166731,-0.166731,-36.2721,0.244089,-0.244089,72.0691
