1,11 Com,2,1,13.76,2.09,1.978
2,11 UMi,1,1,29.79,2.78,2.430
3,14 And,1,1,11.55,1.78,1.840
4,14 Her,1,2,0.93,0.91,-0.153
5,16 Cyg B,3,1,1.13,1.08,0.097
6,17 Sco,1,1,25.92,1.22,2.254
7,18 Del,2,1,8.80,2.10,1.634
8,1RXS J160929.1-210524,1,1,1.31,0.85,-0.370
9,24 Boo,1,1,12.19,1.05,1.877
10,24 Sex,1,2,4.90,1.54,1.164
11,2MASS J04372171+2651014,1,1,0.84,0.17,-1.164
12,2MASS J01033563-5515561 A,2,1,,0.19,
13,2MASS J01225093-2439505,1,1,0.37,0.40,-1.720
14,2MASS J02192210-3925225,1,1,0.28,0.11,-2.230
15,2MASS J04414489+2301513,1,1,0.23,0.02,-2.444
16,2MASS J12073346-3932539,1,1,0.22,0.02,-2.561
17,2MASS J19383260+4603591,2,3,0.20,0.48,1.450
18,2MASS J22362452+4751425,1,1,0.64,0.60,-1.021
19,30 Ari B,4,1,1.41,1.93,0.381
20,4 UMa,1,1,18.11,1.23,2.062
21,42 Dra,2,1,22.03,0.98,2.155
22,47 UMa,1,3,1.21,1.06,0.198
23,51 Eri,3,1,1.49,1.75,0.850
24,51 Peg,1,1,1.18,1.03,0.136
25,55 Cnc,2,5,0.94,0.91,-0.197
26,6 Lyn,1,1,4.94,1.32,1.119
27,61 Vir,1,3,0.96,0.94,-0.095
28,7 CMa,1,2,4.87,1.34,1.063
29,70 Vir,1,1,1.89,1.09,0.451
30,75 Cet,2,2,10.38,1.92,1.714
31,8 UMi,1,1,10.30,1.44,1.725
32,81 Cet,1,1,11.21,1.23,1.760
33,91 Aqr,3,1,11.00,1.40,1.692
34,AB Aur,1,1,2.96,2.40,1.771
35,AB Pic,1,1,1.00,0.90,-0.226
36,AF Lep,1,1,1.25,1.20,0.290
37,AU Mic,1,2,0.70,0.50,-1.046
38,BD+03 2562,1,1,32.35,1.14,2.700
39,BD+14 4559,1,1,0.86,0.49,-0.320
40,BD+15 2375,1,1,8.95,1.08,1.570
41,BD+15 2940,1,1,14.70,1.10,2.010
