pl_name,hostname,sy_snum,sy_pnum,sy_mnum,discoverymethod,disc_year,disc_facility,pl_orbsmax,pl_rade,pl_bmasse,st_rad,st_mass,st_lum,glat,glon
11 Com b,11 Com,2,1,0,Radial Velocity,2007,Xinglong Station,1.178000,12.200,4914.89849,13.76,2.09,1.978,78.28058,264.13775
11 UMi b,11 UMi,1,1,0,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,1.530000,12.300,4684.81420,29.79,2.78,2.430,41.04437,108.71900
14 And b,14 And,1,1,0,Radial Velocity,2008,Okayama Astrophysical Observatory,0.775000,13.100,1131.15130,11.55,1.78,1.840,-21.05141,106.41269
14 Her b,14 Her,1,2,0,Radial Velocity,2002,W. M. Keck Observatory,2.774000,12.600,2559.47216,0.93,0.91,-0.153,46.94447,69.16849
16 Cyg B b,16 Cyg B,3,1,0,Radial Velocity,1996,Multiple Observatories,1.660000,13.500,565.73740,1.13,1.08,0.097,13.20446,83.33558
17 Sco b,17 Sco,1,1,0,Radial Velocity,2020,Lick Observatory,1.450000,12.900,1373.01872,25.92,1.22,2.254,27.34301,1.30262
18 Del b,18 Del,2,1,0,Radial Velocity,2008,Okayama Astrophysical Observatory,2.476000,12.500,2926.24614,8.80,2.10,1.634,-21.97480,58.69121
1RXS J160929.1-210524 b,1RXS J160929.1-210524,1,1,0,Imaging,2008,Gemini Observatory,330.000000,18.647,3000.00000,1.31,0.85,-0.370,22.03031,352.89050
24 Boo b,24 Boo,1,1,0,Radial Velocity,2018,Okayama Astrophysical Observatory,0.194000,13.900,280.64248,12.19,1.05,1.877,60.64470,90.16373
24 Sex b,24 Sex,1,2,0,Radial Velocity,2010,Lick Observatory,1.333000,13.400,632.46000,4.90,1.54,1.164,44.71580,245.08569
24 Sex c,24 Sex,1,2,0,Radial Velocity,2010,Lick Observatory,2.080000,13.900,273.32000,4.90,1.54,1.164,44.71580,245.08569
2M0437 b,2MASS J04372171+2651014,1,1,0,Imaging,2021,Subaru Telescope,118.000000,13.000,1271.31363,0.84,0.17,-1.164,-13.44593,172.81975
2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,2,1,0,Imaging,2013,Paranal Observatory,84.000000,12.300,4131.79000,,0.19,,-61.77586,299.26888
2MASS J01225093-2439505 b,2MASS J01225093-2439505,1,1,0,Imaging,2013,W. M. Keck Observatory,52.000000,11.209,7786.50000,0.37,0.40,-1.720,-82.51990,195.45385
2MASS J02192210-3925225 b,2MASS J02192210-3925225,1,1,0,Imaging,2015,Cerro Tololo Inter-American Observatory,156.000000,16.141,4417.83700,0.28,0.11,-2.230,-67.98402,252.45343
2MASS J04414489+2301513 b,2MASS J04414489+2301513,1,1,0,Imaging,2010,Hubble Space Telescope,15.000000,12.600,2383.60000,0.23,0.02,-2.444,-15.11435,176.51065
2MASS J12073346-3932539 b,2MASS J12073346-3932539,1,1,0,Imaging,2004,Paranal Observatory,55.000000,12.900,1589.15000,0.22,0.02,-2.561,22.54309,293.79011
2MASS J19383260+4603591 b,2MASS J19383260+4603591,2,3,0,Eclipse Timing Variations,2015,Kepler,0.920000,13.400,603.87700,0.20,0.48,1.450,11.67426,79.01876
2MASS J22362452+4751425 b,2MASS J22362452+4751425,1,1,0,Imaging,2016,W. M. Keck Observatory,230.000000,12.300,3972.87500,0.64,0.60,-1.021,-9.10923,100.74846
30 Ari B b,30 Ari B,4,1,0,Radial Velocity,2009,Thueringer Landessternwarte Tautenburg,0.990000,12.300,4392.41060,1.41,1.93,0.381,-32.30930,151.47681
4 UMa b,4 UMa,1,1,0,Radial Velocity,2006,Thueringer Landessternwarte Tautenburg,0.877000,12.600,2511.48007,18.11,1.23,2.062,35.95654,151.35882
42 Dra b,42 Dra,2,1,0,Radial Velocity,2008,Thueringer Landessternwarte Tautenburg,1.190000,13.000,1233.13000,22.03,0.98,2.155,27.12504,95.41912
47 UMa b,47 UMa,1,3,0,Radial Velocity,1996,Lick Observatory,2.100000,13.200,804.08000,1.21,1.06,0.198,63.36770,175.78305
47 UMa c,47 UMa,1,3,0,Radial Velocity,2001,Lick Observatory,3.600000,14.200,171.62100,1.21,1.06,0.198,63.36770,175.78305
47 UMa d,47 UMa,1,3,0,Radial Velocity,2009,Lick Observatory,11.600000,13.500,521.22000,1.21,1.06,0.198,63.36770,175.78305
51 Eri b,51 Eri,3,1,0,Imaging,2015,Gemini Observatory,13.200000,13.400,635.66000,1.49,1.75,0.850,-30.65764,198.61297
51 Peg b,51 Peg,1,1,0,Radial Velocity,1995,Haute-Provence Observatory,0.052700,14.300,146.20180,1.18,1.03,0.136,-34.72750,90.06374
55 Cnc b,55 Cnc,2,5,0,Radial Velocity,1996,Lick Observatory,0.113400,13.900,263.97850,0.94,0.91,-0.197,37.69663,196.79526
55 Cnc c,55 Cnc,2,5,0,Radial Velocity,2004,McDonald Observatory,0.237300,8.510,54.47380,0.94,0.91,-0.197,37.69663,196.79526
55 Cnc d,55 Cnc,2,5,0,Radial Velocity,2002,Lick Observatory,5.957000,13.000,1232.49300,0.94,0.91,-0.197,37.69663,196.79526
55 Cnc e,55 Cnc,2,5,0,Radial Velocity,2004,McDonald Observatory,0.015440,1.875,7.99000,0.94,0.91,-0.197,37.69663,196.79526
55 Cnc f,55 Cnc,2,5,0,Radial Velocity,2007,Multiple Observatories,0.770800,7.590,44.81200,0.94,0.91,-0.197,37.69663,196.79526
6 Lyn b,6 Lyn,1,1,0,Radial Velocity,2008,Okayama Astrophysical Observatory,2.028000,13.400,597.83523,4.94,1.32,1.119,20.18918,156.97286
61 Vir b,61 Vir,1,3,0,Radial Velocity,2009,Multiple Observatories,0.050201,2.110,5.10000,0.96,0.94,-0.095,44.08875,311.85177
61 Vir c,61 Vir,1,3,0,Radial Velocity,2009,Multiple Observatories,0.217500,4.460,18.20000,0.96,0.94,-0.095,44.08875,311.85177
61 Vir d,61 Vir,1,3,0,Radial Velocity,2009,Multiple Observatories,0.476000,5.110,22.90000,0.96,0.94,-0.095,44.08875,311.85177
